serial,dx,dy,units,operator,inspection_date,notes
BR-4471-004,0.031,-0.022,mm,K.Patel,2025-12-08,
BR-4471-009,-0.045,0.018,mm,K.Patel,2025-12-08,
BR-4471-013,0.020,0.015,mm,K.Patel,2025-12-08,
BR-4471-014,0.100,0.095,mm,K.Patel,2025-12-08,
BR-4471-019,-0.038,0.041,mm,K.Patel,2025-12-08,
BR-4471-019,-0.038,0.041,mm,K.Patel,2025-12-08,duplicate entry - data entry error
BR-4471-023,0.055,-0.030,mm,K.Patel,2025-12-08,
BR-4471-027,0.012,0.009,mm,K.Patel,2025-12-08,
BR-4471-031,-0.020,0.025,mm,K.Patel,2025-12-08,
BR-4471-036,0.048,-0.052,mm,R.Novak,2025-12-08,
BR-4471-040,0.033,0.028,mm,R.Novak,2025-12-08,
BR-4471-044,-0.061,0.015,mm,R.Novak,2025-12-08,
BR-4471-048,0.022,-0.019,mm,R.Novak,2025-12-08,
BR-4471-052,0.039,0.044,mm,R.Novak,2025-12-08,
BR-4471-057,-0.0011,0.0004,in,R.Novak,2025-12-09,recorded in inches per operator note
BR-4471-061,0.017,-0.023,mm,R.Novak,2025-12-09,
BR-4471-065,0.050,0.038,mm,R.Novak,2025-12-09,
BR-4471-070,-0.033,ERR,mm,K.Patel,2025-12-09,probe fault - Y reading not captured, remeasure required
BR-4471-074,0.041,-0.017,mm,K.Patel,2025-12-09,
BR-4471-078,0.026,0.031,mm,K.Patel,2025-12-09,
BR-4471-082,-0.049,0.022,mm,K.Patel,2025-12-09,
BR-4471-087,0.035,-0.040,mm,K.Patel,2025-12-09,
BR-4471-091,0.019,0.014,mm,K.Patel,2025-12-09,
BR-4471-095,-0.044,0.033,mm,K.Patel,2025-12-09,
BR-4471-099,-0.0011,-0.0008,in,K.Patel,2025-12-09,recorded in inches per operator note
BR-4471-103,0.038,0.025,mm,K.Patel,2025-12-09,
BR-4471-108,0.150,0.140,mm,R.Novak,2025-12-09,
BR-4471-112,-0.031,0.018,mm,R.Novak,2025-12-09,
BR-4471-116,0.024,-0.029,mm,R.Novak,2025-12-09,
BR-4471-121,0.042,0.036,mm,R.Novak,2025-12-09,
BR-4471-125,-0.019,0.022,mm,R.Novak,2025-12-09,
BR-4471-129,0.033,-0.027,mm,R.Novak,2025-12-09,
BR-4471-134,0.028,0.031,mm,R.Novak,2025-12-09,
